Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;proxima carga estandar de VA;Columna1;Columna2
1001867;ZSTO;MARCADOR INDUSTRIAL-BLANCOXUN;374;RE;240;240;LIBRERIA;143;;143;59,58%;8/9/2026;37;
1001684;ZSTO;DELANTALDESCARNE0.60X1.20CONREFUERZO;374;RE;15;15;SEGURIDAD;9;;9;60,00%;8/9/2026;3;
1016963;ZSSD;RESALTADOR CELESTE PUNTA CHANFLEADA;374;RE;25;25;LIBRERIA;15;;15;60,00%;8/9/2026;6;
1001881;ZSTO;MARCADOR INDUSTRIAL - ROJO UNIPAINT X UN;374;RE;240;240;LIBRERIA;144;;144;60,00%;8/9/2026;38;
1027149;ZSSD;DISCO FLAP TYROLIT 115x22 GRANO 80;374;RE;45;45;FERRETERIA;5;22;27;60,00%;8/9/2026;7;
1042515;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N41;374;RE;65;65;SEGURIDAD;40;;40;61,54%;8/9/2026;9;
1042517;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N43;374;RE;45;45;SEGURIDAD;28;;28;62,22%;8/9/2026;5;
1001683;ZSTO;RESPIRADOR PARA POLVOSTIPON95CAJAX20UN;374;RE;14;14;SEGURIDAD;9;;9;64,29%;8/9/2026;4;
1017224;ZSSD;LAPIZ CARPINTERO;374;RE;150;150;FERRETERIA;99;;99;66,00%;8/9/2026;34;
1016973;ZSSD;MAZA MINERO 3 KG;374;RE;6;6;FERRETERIA;1;3;4;66,67%;8/9/2026;1;
1001747;ZSTO;BOTA GOMA P.ACERO N 43;374;RE;18;18;SEGURIDAD;12;;12;66,67%;8/9/2026;6;
1001952;ZSTO;TRAPO LIMPIO (BOLSAX10KG) XUN;374;RE;15;15;FERRETERIA;10;;10;66,67%;8/9/2026;5;
1002001;ZSTO;CAMISA JEAN T.40 C LOGO;374;RE;30;30;ROPA;20;;20;66,67%;8/9/2026;13;
1001702;ZSTO;GUANTE SOLDADOR COSTURA KEVLAR;374;RE;21;21;SEGURIDAD;14;;14;66,67%;8/9/2026;8;
1002017;ZSTO;PANTALON JEAN T.50;374;RE;22;22;ROPA;15;;15;68,18%;8/9/2026;8;
1002060;ZSTO;CAMPERA ABRIGO T. XXL ROJA CON LOGO;374;RE;35;35;ROPA;24;;24;68,57%;8/9/2026;4;
1047703;ZSCD;CHALECO REFLECT. NARANJA C2 C/LOGO T.3XL;374;RE;16;16;INDUMENTARIA;11;;11;68,75%;8/9/2026;5;
1001697;ZSTO;GUANTE VAQUETA MEDIO PASEO T.10;374;RE;1800;1800;SEGURIDAD;1252;;1252;69,56%;8/9/2026;240;
1016927;ZSSD;CLAVERA SIMPLE;374;RE;50;50;FERRETERIA;35;;35;70,00%;8/9/2026;10;
1001727;ZSTO;PROTECTOR AUDITIVO COPA P/CASCO;374;RE;100;100;SEGURIDAD;70;;70;70,00%;8/9/2026;17;
1017214;ZSSD;DISCO DIAMANTADO P AMOLADORA 7PG;374;RE;50;50;FERRETERIA;1;34;35;70,00%;8/9/2026;10;
1042516;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N42;374;RE;70;70;SEGURIDAD;35;15;50;71,43%;8/9/2026;11;
1002018;ZSTO;PANTALON JEAN T.52;374;RE;21;21;ROPA;15;;15;71,43%;8/9/2026;9;
1001933;ZSTO;DISCO 114x1,6x222 REFORZADO x UN;374;RE;600;600;FERRETERIA;430;;430;71,67%;8/9/2026;167;
1001880;ZSTO;MARCADOR INDUSTRIAL - AZUL UNIPAINT X UN;374;RE;200;200;LIBRERIA;144;;144;72,00%;8/9/2026;30;
1001676;ZSTO;CLAVOS P.PARIS 2 1 2 XKG;374;RE;220;220;ACEROS;160;;160;72,73%;8/9/2026;60;
1017096;ZSSD;SERRUCHO COSTILLA 9DPP - 20PG;374;RE;11;11;FERRETERIA;8;;8;72,73%;8/9/2026;5;
1002067;ZSTO;PANTALON PRIMERA PIEL T.XL;374;RE;46;46;SEGURIDAD;34;;34;73,91%;8/9/2026;9;
1001951;ZSTO;CANDADO 50MM XUN;374;RE;20;20;FERRETERIA;15;;15;75,00%;8/9/2026;5;
1047701;ZSCD;CHALECO REFLECTIVO NARANJA C2 C/LOGO T.M;374;RE;40;40;INDUMENTARIA;30;;30;75,00%;8/9/2026;11;
1016988;ZSSD;CINTA METRICA 3MT;374;RE;102;102;FERRETERIA;77;;77;75,49%;8/9/2026;7;
1002059;ZSTO;CAMPERA ABRIGO T. XL ROJA CON LOGO;374;RE;45;45;ROPA;34;;34;75,56%;8/9/2026;4;
1015780;ZSSD;CINTA METRICA X 10 MTS;374;RE;100;100;FERRETERIA;76;;76;76,00%;8/9/2026;10;
1002061;ZSTO;CAMPERA ABRIGO T. XXXL ROJA CON LOGO;374;RE;25;25;ROPA;19;;19;76,00%;8/9/2026;10;
1002046;ZSTO;CAMISETA PRIMERA PIEL T.XL;374;RE;42;42;SEGURIDAD;32;;32;76,19%;8/9/2026;4;
1046936;ZSCD;GUANTE LATEX NEGRO INDUSTRIAL T8 XPAR;374;RE;13;13;INDUMENTARIA;10;;10;76,92%;8/9/2026;#N/D;
1016928;ZSSD;FRATACHO PLASTICO C GOMA ESPUMA 30CM;374;RE;22;22;FERRETERIA;17;;17;77,27%;8/9/2026;#N/D;
1042518;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N44;374;RE;18;18;SEGURIDAD;14;;14;77,78%;8/9/2026;10;
1001961;ZSTO;CINTA AISLADORA NEGRA X10MT;374;RE;51;51;FERRETERIA;40;;40;78,43%;8/9/2026;10;
1016909;ZSSD;CINTA METRICA X5MT;374;RE;70;70;FERRETERIA;38;17;55;78,57%;8/9/2026;20;
1016931;ZSSD;CARRETILLA 75LT REFORZADA C RUEDA NEUMAT;374;RE;10;10;FERRETERIA;1;7;8;80,00%;8/9/2026;3;
1001885;ZSTO;BOLSAS RESIDUOS XUN 102X130 VERDE;374;RE;750;750;LIMPIEZA;450;150;600;80,00%;8/9/2026;100;
1016080;ZSCD;BOTIN CONW 53 BAF MARRON FLOR P.ACER N39;374;RE;15;15;SEGURIDAD;12;;12;80,00%;8/9/2026;6;
1001893;ZSTO;BOLSARESIDUPLASTICA60X90NEGRAXROLLOX10UN;374;RE;90;90;LIMPIEZA;21;51;72;80,00%;8/9/2026;19;
1001949;ZSTO;CANDADO 30MM XUN;374;RE;16;16;FERRETERIA;13;;13;81,25%;8/9/2026;6;
1042514;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N40;374;RE;45;45;SEGURIDAD;37;;37;82,22%;8/9/2026;10;
1042519;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N45;374;RE;6;6;SEGURIDAD;5;;5;83,33%;8/9/2026;2;
1016920;ZSSD;SOGA NAUTICA 12MM;374;RE;600;600;FERRETERIA;100;400;500;83,33%;8/9/2026;200;
1001869;ZSTO;MARCADORINDUSTRIAL-AMARILLOXUN;374;RE;220;220;LIBRERIA;184;;184;83,64%;8/9/2026;50;
1002016;ZSTO;PANTALON JEAN T.48;374;RE;32;32;ROPA;27;;27;84,38%;8/9/2026;16;
1001923;ZSTO;AGROPOL 100 MIC 4X50MTS;374;RE;20;20;FERRETERIA;5;12;17;85,00%;8/9/2026;10;
1001745;ZSTO;BOTA GOMA P.ACERO N 41;374;RE;20;20;SEGURIDAD;17;;17;85,00%;8/9/2026;7;
1026272;ZSCD;DELANTAL KEVLAR C TRIPLE PROT ABDOMINAL;374;RE;20;20;INDUMENTARIA;17;;17;85,00%;8/9/2026;3;
1002014;ZSTO;PANTALON JEAN T.44;374;RE;40;40;ROPA;34;;34;85,00%;8/9/2026;7;
1001699;ZSTO;CASCO CARCAZA BLANCO;374;RE;35;35;SEGURIDAD;30;;30;85,71%;8/9/2026;2;
1001888;ZSTO;BOLSAS RESIDUOS XUN 102X130 NEGRA;374;RE;460;460;LIMPIEZA;400;;400;86,96%;8/9/2026;#N/D;
1001710;ZSTO;CINTA DEMARCAR PELIGRO ECOLOGICA;374;RE;40;40;SEGURIDAD;35;;35;87,50%;8/9/2026;8;
1001866;ZSTO;MARCADOR INDUSTRIAL-NEGROXUN;374;RE;300;300;LIBRERIA;264;;264;88,00%;8/9/2026;43;
1002058;ZSTO;CAMPERA ABRIGO T. L ROJA CON LOGO;374;RE;50;50;ROPA;30;14;44;88,00%;8/9/2026;5;
1002047;ZSTO;CAMISETA PRIMERA PIEL T.XXL;374;RE;34;34;SEGURIDAD;30;;30;88,24%;8/9/2026;3;
1001700;ZSTO;CASCO CARCAZA AMARILLO;374;RE;90;90;SEGURIDAD;80;;80;88,89%;8/9/2026;5;
1016911;ZSSD;CINTA METRICA X20MT;374;RE;10;10;FERRETERIA;5;4;9;90,00%;8/9/2026;1;
1001927;ZSTO;DISCO CORTE 178X1.6X22 SECUR EXTRA  x UN;374;RE;500;500;FERRETERIA;450;;450;90,00%;8/9/2026;124;
1015783;ZSSD;CINTA REFLECTIVA ROJA X MTS;374;RE;55;55;SEGURIDAD;;50;50;90,91%;8/9/2026;50;
1001876;ZSTO;CINTA EMBALAR TRANSPARENTE 48MM X 100 MT;374;RE;80;80;LIBRERIA;48;25;73;91,25%;8/9/2026;21;
1002071;ZSTO;CAMPERA DESCARNE T.XXXL;374;RE;12;12;SEGURIDAD;11;;11;91,67%;8/9/2026;2;
1017045;ZSSD;SECADOR DE PISO 30CM;374;RE;12;12;LIMPIEZA;11;;11;91,67%;8/9/2026;9;
1001985;ZSTO;VIDRIOP CARETASOLDADOR50X105MMINCOLORO;374;RE;15;15;SOLDADURA;14;;14;93,33%;8/9/2026;2;
1001959;ZSTO;CINTA TEFLON 3/4 X 20MT;374;RE;15;15;FERRETERIA;14;;14;93,33%;8/9/2026;7;
1016961;ZSSD;RESALTADOR ROSA PUNTA CHANFLEADA;374;RE;31;31;LIBRERIA;29;;29;93,55%;8/9/2026;11;
1002052;ZSTO;CAMPERA 2 PIEL T. XL;374;RE;37;37;SEGURIDAD;35;;35;94,59%;8/9/2026;6;
1001701;ZSTO;GUANTE NITRILO AZUL PUÑO ELASTIZADO;374;RE;20;20;SEGURIDAD;19;;19;95,00%;8/9/2026;3;
1002045;ZSTO;CAMISETA PRIMERA PIEL T.L;374;RE;41;41;SEGURIDAD;39;;39;95,12%;8/9/2026;13;
1002049;ZSTO;CAMPERA 2 PIEL T. S;374;RE;22;22;SEGURIDAD;21;;21;95,45%;8/9/2026;10;
1002004;ZSTO;CAMISA JEAN T.46 C LOGO;374;RE;46;46;ROPA;44;;44;95,65%;8/9/2026;24;
1002056;ZSTO;CAMPERA ABRIGO T. S ROJA CON LOGO;374;RE;26;26;ROPA;25;;25;96,15%;8/9/2026;4;
1016954;ZSSD;TANZA 0.80MM -COLOR ROJO- XROLLO;374;RE;52;52;FERRETERIA;12;38;50;96,15%;8/9/2026;15;
1002003;ZSTO;CAMISA JEAN T.44 C LOGO;374;RE;36;36;ROPA;35;;35;97,22%;8/9/2026;5;
1002066;ZSTO;PANTALON PRIMERA PIEL T.L;374;RE;45;45;SEGURIDAD;44;;44;97,78%;8/9/2026;15;
1002053;ZSTO;CAMPERA 2 PIEL T. XXL;374;RE;50;50;SEGURIDAD;31;18;49;98,00%;8/9/2026;10;
1017220;ZSSD;REGLA PLASTICA 30 CM;374;RE;10;10;LIBRERIA;10;;10;100,00%;8/9/2026;5;
1048842;ZSCD;CARTUCHO TONER NEXT ONE TN660/2370;374;RE;4;4;LIBRERIA;4;;4;100,00%;8/9/2026;1;
1041938;ZSCD;MAMELUCO GRAFA AZUL C/LOGO Y REFL. T.L;374;RE;8;8;INDUMENTARIA;8;;8;100,00%;8/9/2026;1;
1001994;ZSTO;ELECTRODO AWS7018 X 2,50 MM X KG;374;RE;30;30;SOLDADURA;;30;30;100,00%;8/9/2026;40;
1016955;ZSSD;SOGA NAUTICA 10MM;374;RE;600;600;FERRETERIA;600;;600;100,00%;8/9/2026;200;
1002584;ZSTO;FILTRO DE DIFERENCIAL;374;RE;1;1;VERIFICAR;;1;1;100,00%;8/9/2026;#N/D;
1035319;ZSSD;"ARCO SIERRA 12"" 300MM";374;RE;20;20;FERRETERIA;20;;20;100,00%;8/9/2026;4;
1026943;ZSCD;ESCUADRA ALBANIL 90° 60CMx90CM METAL;374;RE;7;7;FERRETERIA;7;;7;100,00%;8/9/2026;1;
1026934;ZSCD;PLOMADA 500GR;374;RE;7;7;FERRETERIA;7;;7;100,00%;8/9/2026;3;
1016960;ZSSD;RESALTADOR VERDE PUNTA CHANFLEADA;374;RE;31;31;LIBRERIA;31;;31;100,00%;8/9/2026;5;
1017011;ZSSD;CUADERNO ESPIRAL RAY A4 T.SEMIDURA 80 HJ;374;RE;13;13;LIBRERIA;13;;13;100,00%;8/9/2026;4;
1047700;ZSCD;CHALECO REFLECTIVO NARANJA C2 C/LOGO T.S;374;RE;30;30;INDUMENTARIA;30;;30;100,00%;8/9/2026;17;
1042520;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N46;374;RE;4;4;SEGURIDAD;4;;4;100,00%;8/9/2026;3;
1047474;ZSCD;SOGA NAUTICA 16MM;374;RE;400;400;FERRETERIA;400;;400;100,00%;8/9/2026;80;
1047258;ZSCD;MECHA ACERO RAPIDO D12MM;374;RE;20;20;FERRETERIA;20;;20;100,00%;8/9/2026;3;
1041939;ZSCD;MAMELUCO GRAFA AZUL C/LOGO Y REFL. T.XL;374;RE;11;11;INDUMENTARIA;6;5;11;100,00%;8/9/2026;3;
1041940;ZSCD;MAMELUCO GRAFA AZUL C/LOGO Y REFL. T.XXL;374;RE;10;10;INDUMENTARIA;5;5;10;100,00%;8/9/2026;4;
1016968;ZSSD;PERFORADORA MET MIT 20-25 HJ C REGLA;374;RE;2;2;LIBRERIA;2;;2;100,00%;8/9/2026;1;
1047245;ZSCD;MAZA MINERO 1KG C/ CABO PLASTICO;374;RE;10;10;FERRETERIA;9;1;10;100,00%;8/9/2026;2;
1016976;ZSSD;MARCADOR P PIZARRA NEGRO;374;RE;20;20;LIBRERIA;20;;20;100,00%;8/9/2026;7;
1016983;ZSSD;CUCHARA ALBANIL FORJADA 7PG;374;RE;30;30;FERRETERIA;30;;30;100,00%;8/9/2026;8;
1025951;ZSSD;MECHA ACERO RAPIDO D8 MM;374;RE;12;12;FERRETERIA;12;;12;100,00%;8/9/2026;6;
1042512;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N37;374;RE;8;8;SEGURIDAD;8;;8;100,00%;8/9/2026;6;
1017022;ZSSD;CUADERNO ESPIRAL CUAD A4 T.SEMIDURA 80HJ;374;RE;16;16;LIBRERIA;16;;16;100,00%;8/9/2026;2;
1017008;ZSSD;ADHESIVO SINTETICO 50GR;374;RE;5;5;FERRETERIA;5;;5;100,00%;8/9/2026;4;
1016962;ZSSD;RESALTADOR NARANJA PUNTA CHANFLEADA;374;RE;30;30;LIBRERIA;30;;30;100,00%;8/9/2026;7;
1001674;ZSTO;CLAVOS P.PARIS 1 XKG;374;RE;60;60;ACEROS;60;;60;100,00%;8/9/2026;47;
1033436;ZSTO;ACEITE HIDRAULICO MERAK 46 x 205L;374;RE;1;1;?;;1;1;100,00%;8/9/2026;#N/D;
1015855;ZSSD;PRECINTO PLASTICO AL-5 X 300MM;374;RE;15;15;FERRETERIA;15;;15;100,00%;8/9/2026;1;
1002006;ZSTO;CAMISA JEAN T.50 C LOGO;374;RE;15;15;ROPA;15;;15;100,00%;8/9/2026;2;
1002005;ZSTO;CAMISA JEAN T.48 C LOGO;374;RE;30;30;ROPA;30;;30;100,00%;8/9/2026;24;
1002000;ZSTO;CAMISA JEAN T.38 C LOGO;374;RE;25;25;ROPA;25;;25;100,00%;8/9/2026;14;
1001984;ZSTO;CARETA PARA SOLDADOR X UN;374;RE;5;5;SOLDADURA;5;;5;100,00%;8/9/2026;2;
1001972;ZSTO;ESMALTE SINT. AEROSOL VERDE X440CC;374;RE;24;24;PINTURAS;24;;24;100,00%;8/9/2026;1;
1001971;ZSTO;ESMALTE SINT. AEROSOL ROJO X 440CC;374;RE;24;24;PINTURAS;24;;24;100,00%;8/9/2026;#N/D;
1001970;ZSTO;ESMALTE SINT. AEROSOL NEGRO X440CC;374;RE;45;45;PINTURAS;45;;45;100,00%;8/9/2026;#N/D;
1016921;ZSSD;SOGA NAUTICA 8MM;374;RE;400;400;FERRETERIA;400;;400;100,00%;8/9/2026;200;
1026942;ZSCD;ESCUADRA ALBANIL 45° 20CMx30CM METAL;374;RE;7;7;FERRETERIA;2;5;7;100,00%;8/9/2026;#N/D;
1001963;ZSTO;CINTA AISLADORA VERDE X10MT;374;RE;50;50;FERRETERIA;50;;50;100,00%;8/9/2026;11;
1017031;ZSSD;GUANTES ALTO IMPACTO X PAR;374;RE;750;750;INDUMENTARIA;702;48;750;100,00%;8/9/2026;192;
1017005;ZSSD;CADENA PLASTICA ROJA Y BLANCA X ML;374;RE;1000;1000;SEGURIDAD;700;300;1000;100,00%;8/9/2026;250;
1002007;ZSTO;CAMISA JEAN T.52 C LOGO;374;RE;14;14;ROPA;14;;14;100,00%;8/9/2026;15;
1016964;ZSSD;RESALTADOR AMARILLO PUNTA CHANFLEADA;374;RE;30;30;LIBRERIA;20;10;30;100,00%;8/9/2026;2;
1001993;ZSTO;ELECTRODO AWS7018 X 3,25 MM X KG;374;RE;32;32;SOLDADURA;2;30;32;100,00%;8/9/2026;30;
1001958;ZSTO;CINTA TEFLON 1/2 X 20MT;374;RE;6;6;FERRETERIA;6;;6;100,00%;8/9/2026;3;
1001894;ZSTO;ALCOHOL EN GEL X LITRO;374;RE;20;20;LIMPIEZA;20;;20;100,00%;8/9/2026;#N/D;
1001892;ZSTO;BOLSAS RESIDUOS XUN 102X130ROJA100MICXUN;374;RE;500;500;LIMPIEZA;500;;500;100,00%;8/9/2026;300;
1001872;ZSTO;RESMA DE HOJA A3 75GR. X UN;374;RE;10;10;LIBRERIA;10;;10;100,00%;8/9/2026;3;
1001774;ZSTO;ESLINGA SINTETICA 4MTS 4TN CERTIFICADA;374;RE;7;7;SEGURIDAD;5;2;7;100,00%;8/9/2026;2;
1017084;ZSSD;CEPILLO ACERO 4X19 C MANGO MADERA;374;RE;16;16;LIMPIEZA;2;14;16;100,00%;8/9/2026;2;
1001746;ZSTO;BOTA GOMA P.ACERO N 42;374;RE;20;20;SEGURIDAD;20;;20;100,00%;8/9/2026;3;
1001737;ZSTO;CRIQUETTENSORCONFAJA9METROSX10CMSGPLANO;374;RE;8;8;SEGURIDAD;8;;8;100,00%;8/9/2026;#N/D;
1001726;ZSTO;SUSPENSION CREMALLERA;374;RE;200;200;SEGURIDAD;200;;200;100,00%;8/9/2026;11;
1001695;ZSTO;MANGA DESCARNE;374;RE;19;19;SEGURIDAD;19;;19;100,00%;8/9/2026;11;
1001688;ZSTO;TAPON AUDITIVO FOAM CON CORDON;374;RE;150;150;SEGURIDAD;150;;150;100,00%;8/9/2026;43;
1001960;ZSTO;CINTA AISLADORA AMARILLO X10MT;374;RE;50;50;FERRETERIA;50;;50;100,00%;8/9/2026;1;
