Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;Columna1
1015845;ZSSD;USAR 1026806;378;RE;21;21;FERRETERIA;;;0;0,00%;#N/D
1001701;ZSTO;GUANTE NITRILO AZUL PUÑO ELASTIZADO;378;RE;34;34;SEGURIDAD;2;;2;5,88%;#N/D
1001697;ZSTO;GUANTE VAQUETA MEDIO PASEO T.10;378;RE;282;282;SEGURIDAD;69;10;79;28,01%;68
1017110;ZSSD;MATAFUEGO ABC X10KG;378;RE;6;6;SEGURIDAD;2;;2;33,33%;#N/D
1015788;ZSSD;DESODORANTE LÍQUIDO PARA PISO X 5 LTS;378;RE;12;12;LIMPIEZA;4;;4;33,33%;1
1016910;ZSSD;CINTA METRICA X10MT CON PASACINTO;378;RE;5;5;FERRETERIA;2;;2;40,00%;1
1001774;ZSTO;ESLINGA SINTETICA 4MTS 4TN CERTIFICADA;378;RE;8;8;SEGURIDAD;4;;4;50,00%;4
1001682;ZSTO;MAMEL. 1°CAL. DESC. LAMIN.BLANCO 60GR.XL;378;RE;129;129;SEGURIDAD;72;;72;55,81%;76
1001929;ZSTO;DISCO 178X4,8X22,23TYROLIT OASECUR XUN;378;RE;80;80;FERRETERIA;51;;51;63,75%;25
1001707;ZSTO;CHALECOGRAFANARANJACONREFLETIVOT.XLC2;378;RE;10;10;SEGURIDAD;7;;7;70,00%;7
1001777;ZSTO;ESLINGA SINTETICA 6MTS 4TN CERTIFICADA;378;RE;8;8;SEGURIDAD;4;2;6;75,00%;4
1058841;ZSCD;CEPILLO PIPELINE ACERO 44T 178X6X22,23MM;378;RE;20;20;FERRETERIA;;15;15;75,00%;#N/D
1016982;ZSSD;FOLIO A4 ST X100;378;RE;4;4;LIBRERIA;3;;3;75,00%;#N/D
1001961;ZSTO;CINTA AISLADORA NEGRA X10MT;378;RE;25;25;FERRETERIA;19;;19;76,00%;18
1017005;ZSSD;CADENA PLASTICA ROJA Y BLANCA X ML;378;RE;250;250;SEGURIDAD;200;;200;80,00%;100
1001748;ZSTO;BOTA GOMA P.ACERO N 44;378;RE;10;10;SEGURIDAD;8;;8;80,00%;8
1017055;ZSSD;ZAPATILLA ELECTRICA 6 TOMAS C CABLE 3M;378;RE;10;10;ELECTRICIDAD;8;;8;80,00%;4
1015866;ZSSD;TRAPO DE PISO X UN;378;RE;23;23;LIMPIEZA;19;;19;82,61%;#N/D
1001708;ZSTO;GUANTE POLIAMIDA LAMINADO PALMAPU-TALLE9;378;RE;85;85;SEGURIDAD;72;;72;84,71%;75
1001778;ZSTO;YERBA MATE X 500GRS X UN;378;RE;79;79;ALIMENTOS;67;;67;84,81%;#N/D
1001744;ZSTO;BOTA GOMA P.ACERO N 40;378;RE;8;8;SEGURIDAD;7;;7;87,50%;7
1046627;ZSTO;AEROSOL DESINFECTANTE ANTIBACT. 360 ML;378;RE;35;35;LIMPIEZA;31;;31;88,57%;#N/D
1001903;ZSTO;LAVANDINA X 5 LTS;378;RE;18;18;LIMPIEZA;5;11;16;88,89%;#N/D
