Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
3;03-MAYOR A PUNTO DE PEDIDO;1002669;ZSTO;FITLRO ACEITE XUN;MR01;0374;AB04;V1;3;HB;5;5;0;0;0;0;F03;FILTRO ACEITE;86516,3;BOBCAT;6675517;FILTROS;BOBCAT S185;7-PESADO;0,44;0;KG;572,265;25;86516,32;;;;1;;;1;;
4;04-MAYOR A STOCK MAXIMO;1002675;ZSTO;FILTRO COMBUSTIBLE;MR01;0374;AB04;V1;2;HB;5;13;0;0;0;0;F06;FILTRO COMBUSTIBLE;481590,46;PERKINS // MANITOU // HAULOTTE G // PERKINS // PERKINS // PARKER // // //;26560201 // 605013 // 2427003070 // 26560201 // 4816636 // REC-154 // SN40645 // TCE1804I // FS20009;FILTROS;MANITOU/HAULOTTE;9-FRAGIL;0,236;0;KG;1336,5;15;481590,4;;;;;1;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002685;ZSTO;ARE ACONDICIONADO CABINA;MR01;0374;AB04;V1;3;HB;6;5;0;0;0;0;F10;FILTRO HVAC;131789,3;VOLKSWAGEN // No aplica // // // DONALDSON;2R2819429 // MP5582 // TAC5427 // MAH312 // P750019;FILTROS;VW 31-320-19360;9-FRAGIL;0,13;0;KG;2668;15;131789,29;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002686;ZSTO;FILTRO TRAMPA AGUA;MR01;0374;AB04;V1;4;HB;7;4;0;0;0;0;F13;FILTRO TRAMPA DE A;350586,72;KOMATSU HO // KOMATSU HO // DONALDSON // DONALDSON;6003194540 // 6003114510 // P550937 // P553200;FILTROS;D155, WA60;7-PESADO;1,2;0;KG;3316,625;15;350586,73;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002688;ZSTO;FILTRO GASOIL;MR01;0374;AB04;V1;3;HB;5;5;0;0;0;0;F06;FILTRO COMBUSTIBLE;129475,85;BOBCAT;6667352;FILTROS;BOBCAT S185;7-PESADO;0,3;0;KG;704;25;129475,87;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002704;ZSTO;FILTRO AIRE XUN;MR01;0374;BB04;V1;6;HB;11;6;0;0;0;0;F04;FILTRO AIRE;748047,78;CATERPILLA;6I2501;FILTROS;FILTROS;9-FRAGIL;2,59;0;KG;32400;15;748047,76;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002705;ZSTO;FILTRO AIRE XUN;MR01;0374;AB05;V1;6;HB;11;7;0;0;0;0;F04;FILTRO AIRE;739351,83;CATERPILLA;6I2502;FILTROS;FILTROS;9-FRAGIL;0,76;0;KG;9248;25;739351,86;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002706;ZSTO;FILTRO COMBUSTIBLE XUN;MR01;0374;AB04;V1;4;HB;8;5;0;0;0;0;F06;FILTRO COMBUSTIBLE;183233,65;CATERPILLA // // //;1R0762 // FF5624 // P550625 // SN 55429;FILTROS;CAT 980H, CAT 336 DLME,988H;7-PESADO;0,9;0;KG;1912,849;15;183233,67;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002708;ZSTO;FILTRO AIRE X UN;MR01;0374;AA05;V1;6;HB;12;9;0;0;0;0;F04;FILTRO AIRE;343098,72;VOLKSWAGEN // FLEETGUARD // VOLKSWAGEN // // VOLKSWAGEN //;2S0129620B // AF2599700 // FLI6120 // S3003 // CA-5626 // P618941;FILTROS;VW;9-FRAGIL;2,544;0;KG;32928;15;343098,75;;;;1;;;1;;
3;03-MAYOR A PUNTO DE PEDIDO;1002709;ZSTO;CARTUCHO PARA FILTRO AIRE;MR01;0374;AA05;V1;6;HB;12;12;0;0;0;0;F01;CARTUCHO;164014,8;VOLKSWAGEN // FLEETGUARD // // MONZA //;2S0129620CA // AF26211 // AB3406 // FLI9141 // CA5626;FILTROS;WV;9-FRAGIL;0,687;0;KG;11008;15;164014,85;;;;1;;;1;;
