Material;Tipo material;Texto breve de material;Almacén;Caract;Punto de pedido;Stock alm.máx.;Rubro;Cant Stock;Pendiente en Zstatus;StockTotalDisponible/Camino;%StockBaseDisponible;proxima carga estandar de VA
1001675;ZSTO;CLAVOS P.PARIS 2 XKG;374;RE;120;120;ACEROS;10;;10;8,33%;8/9/2026
1001868;ZSTO;FILMSTRECHMANUALXBOBINAx2,70KG;374;RE;10;10;LIBRERIA;1;;1;10,00%;8/9/2026
1015780;ZSSD;CINTA METRICA X 10 MTS;374;RE;100;100;FERRETERIA;10;;10;10,00%;8/9/2026
1017034;ZSSD;TIJERA 17 CM C MANGO PLASTICO;374;RE;10;10;LIBRERIA;1;;1;10,00%;8/9/2026
1047245;ZSCD;MAZA MINERO 1KG C/ CABO PLASTICO;374;RE;10;10;FERRETERIA;1;;1;10,00%;8/9/2026
1001891;ZSTO;PANOABSORVENTE PARAHIDROCARBUROXPAQ100;374;RE;9;9;LIMPIEZA;1;;1;11,11%;8/9/2026
1016988;ZSSD;CINTA METRICA 3MT;374;RE;102;102;FERRETERIA;12;;12;11,76%;8/9/2026
1017214;ZSSD;DISCO DIAMANTADO P AMOLADORA 7PG;374;RE;50;50;FERRETERIA;6;;6;12,00%;8/9/2026
1042512;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N37;374;RE;8;8;SEGURIDAD;1;;1;12,50%;8/9/2026
1017149;ZSSD;BARRETA SACACLAVOS 19X600;374;RE;8;8;FERRETERIA;1;;1;12,50%;8/9/2026
1017084;ZSSD;CEPILLO ACERO 4X19 C MANGO MADERA;374;RE;16;16;LIMPIEZA;2;;2;12,50%;8/9/2026
1001678;ZSTO;FICHA T.STECK HEMBRA 220V 16A 2P T X UN;374;RE;40;40;ELECTRICIDAD;5;;5;12,50%;8/9/2026
1016950;ZSSD;ARRANCAMOTOR AEROSOL WURTH START-RAPID;374;RE;15;15;FERRETERIA;2;;2;13,33%;8/9/2026
1027149;ZSSD;DISCO FLAP TYROLIT 115x22 GRANO 80;374;RE;45;45;FERRETERIA;6;;6;13,33%;8/9/2026
1016928;ZSSD;FRATACHO PLASTICO C GOMA ESPUMA 30CM;374;RE;22;22;FERRETERIA;3;;3;13,64%;8/9/2026
1041530;ZSSD;PRECINTO PLASTICO AL-2 X 104MM X 100UN;374;RE;50;50;FERRETERIA;7;;7;14,00%;8/9/2026
1001683;ZSTO;RESPIRADOR PARA POLVOSTIPON95CAJAX20UN;374;RE;14;14;SEGURIDAD;2;;2;14,29%;8/9/2026
1047258;ZSCD;MECHA ACERO RAPIDO D12MM;374;RE;20;20;FERRETERIA;3;;3;15,00%;8/9/2026
1001746;ZSTO;BOTA GOMA P.ACERO N 42;374;RE;20;20;SEGURIDAD;3;;3;15,00%;8/9/2026
1001697;ZSTO;GUANTE VAQUETA MEDIO PASEO T.10;374;RE;1800;1800;SEGURIDAD;280;;280;15,56%;8/9/2026
1002059;ZSTO;CAMPERA ABRIGO T. XL ROJA CON LOGO;374;RE;45;45;ROPA;7;;7;15,56%;8/9/2026
1016920;ZSSD;SOGA NAUTICA 12MM;374;RE;600;600;FERRETERIA;100;;100;16,67%;8/9/2026
1002070;ZSTO;CAMPERA DESCARNE T.XXL;374;RE;6;6;SEGURIDAD;1;;1;16,67%;8/9/2026
1042513;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N38;374;RE;12;12;SEGURIDAD;2;;2;16,67%;8/9/2026
1041529;ZSCD;HOJA CALADORA P/BOSCHGST650 T111C;374;RE;30;30;FERRETERIA;5;;5;16,67%;8/9/2026
1001696;ZSTO;POLAINA DESCARNE;374;RE;17;17;SEGURIDAD;3;;3;17,65%;8/9/2026
1002058;ZSTO;CAMPERA ABRIGO T. L ROJA CON LOGO;374;RE;50;50;ROPA;9;;9;18,00%;8/9/2026
1016911;ZSSD;CINTA METRICA X20MT;374;RE;10;10;FERRETERIA;2;;2;20,00%;8/9/2026
1041531;ZSCD;DISCO P SIERRA CIRCULAR D9PG 24 DIENTES;374;RE;20;20;FERRETERIA;4;;4;20,00%;8/9/2026
1001869;ZSTO;MARCADORINDUSTRIAL-AMARILLOXUN;374;RE;220;220;LIBRERIA;44;;44;20,00%;8/9/2026
1001895;ZSTO;ALCOHOL LIQUIDO X LITRO;374;RE;30;30;LIMPIEZA;6;;6;20,00%;8/9/2026
1036100;ZSTO;CONO FLEX. C/REFLECT. Y BASE CAUCHO 70CM;374;RE;160;160;SEGURIDAD;35;;35;21,88%;8/9/2026
1001969;ZSTO;ESMALTE SINT. AEROSOL BLANCO X440CC;374;RE;65;65;PINTURAS;15;;15;23,08%;8/9/2026
1001896;ZSTO;PULVERIZADOR P ALCOHOL LIQUIDO 500 ML;374;RE;13;13;LIMPIEZA;3;;3;23,08%;8/9/2026
1016954;ZSSD;TANZA 0.80MM -COLOR ROJO- XROLLO;374;RE;50;50;FERRETERIA;12;;12;24,00%;8/9/2026
1002021;ZSTO;PANTALON JEAN T.58;374;RE;8;8;ROPA;2;;2;25,00%;8/9/2026
1001679;ZSTO;FICHA T.STECK MACHO 220V 16A 2P T XUN;374;RE;40;40;ELECTRICIDAD;10;;10;25,00%;8/9/2026
1002071;ZSTO;CAMPERA DESCARNE T.XXXL;374;RE;12;12;SEGURIDAD;3;;3;25,00%;8/9/2026
1001706;ZSTO;GUANTE LATEX USO MEDICINAL CAJA X 100 UN;374;RE;4;4;SEGURIDAD;1;;1;25,00%;8/9/2026
1001707;ZSTO;CHALECOGRAFANARANJACONREFLETIVOT.XLC2;374;RE;100;100;SEGURIDAD;25;;25;25,00%;8/9/2026
1002019;ZSTO;PANTALON JEAN T.54;374;RE;15;15;ROPA;4;;4;26,67%;8/9/2026
1002067;ZSTO;PANTALON PRIMERA PIEL T.XL;374;RE;45;45;SEGURIDAD;12;;12;26,67%;8/9/2026
1042516;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N42;374;RE;70;70;SEGURIDAD;19;;19;27,14%;8/9/2026
1001778;ZSTO;YERBA MATE X 500GRS X UN;374;RE;1000;1000;ALIMENTOS;280;;280;28,00%;8/9/2026
1001708;ZSTO;GUANTE POLIAMIDA LAMINADO PALMAPU-TALLE9;374;RE;2000;2000;SEGURIDAD;568;;568;28,40%;8/9/2026
1001877;ZSTO;CINTA EMBALAR MARRON 48MM X 100 MT;374;RE;35;35;LIBRERIA;10;;10;28,57%;8/9/2026
1002060;ZSTO;CAMPERA ABRIGO T. XXL ROJA CON LOGO;374;RE;35;35;ROPA;10;;10;28,57%;8/9/2026
1026942;ZSCD;ESCUADRA ALBANIL 45° 20CMx30CM METAL;374;RE;7;7;FERRETERIA;2;;2;28,57%;8/9/2026
1026943;ZSCD;ESCUADRA ALBANIL 90° 60CMx90CM METAL;374;RE;7;7;FERRETERIA;2;;2;28,57%;8/9/2026
1016931;ZSSD;CARRETILLA 75LT REFORZADA C RUEDA NEUMAT;374;RE;10;10;FERRETERIA;3;;3;30,00%;8/9/2026
1047702;ZSCD;CHALECO REFLECTIVO NARANJA C2 C/LOGO T.L;374;RE;65;65;INDUMENTARIA;20;;20;30,77%;8/9/2026
1016919;ZSSD;LUBRICANTE MULTIUSO WD-40 440CC;374;RE;90;90;FERRETERIA;28;;28;31,11%;8/9/2026
1016960;ZSSD;RESALTADOR VERDE PUNTA CHANFLEADA;374;RE;31;31;LIBRERIA;10;;10;32,26%;8/9/2026
1017974;ZSTO;LIMPIACONTACTOS AEROSOL X240ML;374;RE;12;12;INSUMOS;4;;4;33,33%;8/9/2026
1047983;ZSCD;TENAZA ARMADOR 1/2 CORTE L.30CM MIN.;374;RE;75;75;FERRETERIA;25;;25;33,33%;8/9/2026
1001887;ZSTO;BOLSAS RESIDUOS XUN 102X130 AMARILLA;374;RE;1120;1120;LIMPIEZA;400;;400;35,71%;8/9/2026
1001726;ZSTO;SUSPENSION CREMALLERA;374;RE;200;200;SEGURIDAD;73;;73;36,50%;8/9/2026
1002047;ZSTO;CAMISETA PRIMERA PIEL T.XXL;374;RE;30;30;SEGURIDAD;11;;11;36,67%;8/9/2026
1002050;ZSTO;CAMPERA 2 PIEL T. M;374;RE;27;27;SEGURIDAD;10;;10;37,04%;8/9/2026
1001728;ZSTO;ADAPTADOR PROTECTOR FACIAL AUDITIVO;374;RE;70;70;SEGURIDAD;26;;26;37,14%;8/9/2026
1001710;ZSTO;CINTA DEMARCAR PELIGRO ECOLOGICA;374;RE;40;40;SEGURIDAD;15;;15;37,50%;8/9/2026
1042518;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N44;374;RE;18;18;SEGURIDAD;7;;7;38,89%;8/9/2026
1001866;ZSTO;MARCADOR INDUSTRIAL-NEGROXUN;374;RE;300;300;LIBRERIA;120;;120;40,00%;8/9/2026
1002018;ZSTO;PANTALON JEAN T.52;374;RE;20;20;ROPA;8;;8;40,00%;8/9/2026
1002020;ZSTO;PANTALON JEAN T.56;374;RE;10;10;ROPA;4;;4;40,00%;8/9/2026
1001984;ZSTO;CARETA PARA SOLDADOR X UN;374;RE;5;5;SOLDADURA;2;;2;40,00%;8/9/2026
1054305;ZSCD;AEROSOL BASE AGUA ROJO X440CC;374;RE;150;150;INSUMOS;60;;60;40,00%;8/9/2026
1002053;ZSTO;CAMPERA 2 PIEL T. XXL;374;RE;50;50;SEGURIDAD;20;;20;40,00%;8/9/2026
1017224;ZSSD;LAPIZ CARPINTERO;374;RE;150;150;FERRETERIA;61;;61;40,67%;8/9/2026
1001961;ZSTO;CINTA AISLADORA NEGRA X10MT;374;RE;51;51;FERRETERIA;21;;21;41,18%;8/9/2026
1016982;ZSSD;FOLIO A4 ST X100;374;RE;24;24;LIBRERIA;10;;10;41,67%;8/9/2026
1002014;ZSTO;PANTALON JEAN T.44;374;RE;40;40;ROPA;17;;17;42,50%;8/9/2026
1017019;ZSSD;ABROCHADORA PINZA N10;374;RE;7;7;LIBRERIA;3;;3;42,86%;8/9/2026
1042515;ZSCD;BOTIN CONW 53 BAF MARRON P.ACER N41;374;RE;65;65;SEGURIDAD;29;;29;44,62%;8/9/2026
1001701;ZSTO;GUANTE NITRILO AZUL PUÑO ELASTIZADO;374;RE;20;20;SEGURIDAD;9;;9;45,00%;8/9/2026
1017096;ZSSD;SERRUCHO COSTILLA 9DPP - 20PG;374;RE;11;11;FERRETERIA;5;;5;45,45%;8/9/2026
1016894;ZSTO;MAMEL. 1°CAL. DESC. LAMIN.BLANCO 60GRXXL;374;RE;700;700;SEGURIDAD;320;;320;45,71%;8/9/2026
1016965;ZSSD;PORTABLOCK ACRILICO C CLIP SUPERIOR;374;RE;35;35;LIBRERIA;16;;16;45,71%;8/9/2026
1034240;ZSSD;CHALECO GRAFA NARANJA C/REFLECTIVO T.XXL;374;RE;65;65;SEGURIDAD;30;;30;46,15%;8/9/2026
1001686;ZSTO;ANTEOJO GRIS;374;RE;1120;1120;SEGURIDAD;522;;522;46,61%;8/9/2026
1015855;ZSSD;PRECINTO PLASTICO AL-5 X 300MM;374;RE;15;15;FERRETERIA;7;;7;46,67%;8/9/2026
1002066;ZSTO;PANTALON PRIMERA PIEL T.L;374;RE;45;45;SEGURIDAD;21;;21;46,67%;8/9/2026
1002006;ZSTO;CAMISA JEAN T.50 C LOGO;374;RE;15;15;ROPA;7;;7;46,67%;8/9/2026
